duration,title,album,image_200,image_400,image_800,shortUrl,contentLang,release_date,gaana_id,provider,singers
213,The Hook Up Song,Student Of The Year 2,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_m_1556260843.jpg,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_l_1556260843.jpg,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_xl_1556260843.jpg,https://gaana.com/song/the-hook-up-song,hi,"Apr 18, 2019",26194456,gaana,"{'Neha Kakkar', 'Shekhar Ravjiani', 'Vishal Shekhar'}"
247,Slow Motion,Bharat,https://a10.gaanacdn.com/gn_img/song/DwPKOkBKqV/PKOzM706bq/size_m_1556197002.jpg,https://a10.gaanacdn.com/gn_img/song/DwPKOkBKqV/PKOzM706bq/size_l_1556197002.jpg,https://a10.gaanacdn.com/gn_img/song/DwPKOkBKqV/PKOzM706bq/size_xl_1556197002.jpg,https://gaana.com/song/slow-motion-383,hi,"Apr 25, 2019",26185398,gaana,"{'Nakash Aziz', 'Shreya Ghoshal'}"
209,Hauli Hauli,De De Pyaar De,https://a10.gaanacdn.com/gn_img/song/dwN39y83DP/N39awnQV3D/size_m_1556262425.jpg,https://a10.gaanacdn.com/gn_img/song/dwN39y83DP/N39awnQV3D/size_l_1556262425.jpg,https://a10.gaanacdn.com/gn_img/song/dwN39y83DP/N39awnQV3D/size_xl_1556262425.jpg,https://gaana.com/song/hauli-hauli-9,hi,"Apr 26, 2019",26194977,gaana,"{'Mellow D', 'Neha Kakkar', 'Garry Sandhu'}"
156,Dheeme Dheeme,Dheeme Dheeme,https://a10.gaanacdn.com/gn_img/albums/P7m3GNKqxo/7m3G4xd6Wq/size_m_1557315158.jpg,https://a10.gaanacdn.com/gn_img/albums/P7m3GNKqxo/7m3G4xd6Wq/size_l_1557315158.jpg,https://a10.gaanacdn.com/gn_img/albums/P7m3GNKqxo/7m3G4xd6Wq/size_xl_1557315158.jpg,https://gaana.com/song/dheeme-dheeme-39,hi,"May 08, 2019",26461234,gaana,"{'Neha Sharma', 'Tony Kakkar'}"
209,Mumbai Dilli Di Kudiyaan,Student Of The Year 2,https://a10.gaanacdn.com/gn_img/song/VdNW0JMKo5/NW0rOD5NKo/size_m_1556092624.jpg,https://a10.gaanacdn.com/gn_img/song/VdNW0JMKo5/NW0rOD5NKo/size_l_1556092624.jpg,https://a10.gaanacdn.com/gn_img/song/VdNW0JMKo5/NW0rOD5NKo/size_xl_1556092624.jpg,https://gaana.com/song/mumbai-dilli-di-kudiyaan-1,hi,"Apr 18, 2019",26159575,gaana,"{'Payal Dev', 'Vishal Shekhar', 'Dev Negi', 'Vishal Dadlani'}"
271,Chale Aana,De De Pyaar De,https://a10.gaanacdn.com/gn_img/song/dwN398KDPa/N39AzwB53D/size_m_1556867121.jpg,https://a10.gaanacdn.com/gn_img/song/dwN398KDPa/N39AzwB53D/size_l_1556867121.jpg,https://a10.gaanacdn.com/gn_img/song/dwN398KDPa/N39AzwB53D/size_xl_1556867121.jpg,https://gaana.com/song/chale-aana-1,hi,"May 02, 2019",26321133,gaana,{'Armaan Malik'}
220,Aithey Aa,Bharat,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3ZmjoMMK5/size_m_1557317056.jpg,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3ZmjoMMK5/size_l_1557317056.jpg,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3ZmjoMMK5/size_xl_1557317056.jpg,https://gaana.com/song/aithey-aa,hi,"May 09, 2019",26461248,gaana,"{'Kamaal Khan', 'Akasa', 'Neeti Mohan'}"
288,Fakira,Student Of The Year 2,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_m_1556260843.jpg,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_l_1556260843.jpg,https://a10.gaanacdn.com/gn_img/albums/w4MKPDOKoj/4MKPjOM4Wo/size_xl_1556260843.jpg,https://gaana.com/song/fakira-10,hi,"Apr 26, 2019",26194457,gaana,"{'Vishal Shekhar', 'Sanam', 'Neeti Mohan'}"
372,Bekhayali,Kabir Singh,https://a10.gaanacdn.com/gn_img/song/R7vKX66Wmr/vKX99k203m/size_m_1558696254.jpg,https://a10.gaanacdn.com/gn_img/song/R7vKX66Wmr/vKX99k203m/size_l_1558696254.jpg,https://a10.gaanacdn.com/gn_img/song/R7vKX66Wmr/vKX99k203m/size_xl_1558696254.jpg,https://gaana.com/song/bekhayali-1,hi,"May 24, 2019",26846345,gaana,{'Sachet Tandon'}
196,Vaaste,Vaaste,https://a10.gaanacdn.com/gn_img/albums/qa4WEqWP1p/a4WE0DX83P/size_m_1554479538.jpg,https://a10.gaanacdn.com/gn_img/albums/qa4WEqWP1p/a4WE0DX83P/size_l_1554479538.jpg,https://a10.gaanacdn.com/gn_img/albums/qa4WEqWP1p/a4WE0DX83P/size_xl_1554479538.jpg,https://gaana.com/song/vaaste,hi,"Apr 06, 2019",25894157,gaana,"{'Dhvani Bhanushali', ""Nikhil D'Souza""}"
140,Zinda,Bharat,https://a10.gaanacdn.com/gn_img/albums/JD2KJyAbOL/D2KJ7jvO3O/size_m_1558090897.jpg,https://a10.gaanacdn.com/gn_img/albums/JD2KJyAbOL/D2KJ7jvO3O/size_l_1558090897.jpg,https://a10.gaanacdn.com/gn_img/albums/JD2KJyAbOL/D2KJ7jvO3O/size_xl_1558090897.jpg,https://gaana.com/song/zinda-24,hi,"Apr 17, 2019",26681572,gaana,{'Vishal Dadlani'}
197,Sajna Ve,Sajna Ve,https://a10.gaanacdn.com/gn_img/albums/R7vKX66Wmr/7vKXqvAg3m/size_m.jpg,https://a10.gaanacdn.com/gn_img/albums/R7vKX66Wmr/7vKXqvAg3m/size_m.jpg,https://a10.gaanacdn.com/gn_img/albums/R7vKX66Wmr/7vKXqvAg3m/size_m.jpg,https://gaana.com/song/sajna-ve-24,hi,"May 20, 2019",26692947,gaana,"{'Vishal Mishra', 'Lisa Mishra'}"
285,Tujhe Kitna Chahne Lage,Kabir Singh,https://a10.gaanacdn.com/gn_img/song/ZaP37RKDy7/P371NLRVbD/size_m_1559305408.jpg,https://a10.gaanacdn.com/gn_img/song/ZaP37RKDy7/P371NLRVbD/size_l_1559305408.jpg,https://a10.gaanacdn.com/gn_img/song/ZaP37RKDy7/P371NLRVbD/size_xl_1559305408.jpg,https://gaana.com/song/tujhe-kitna-chahne-lage,hi,"May 31, 2019",26974811,gaana,{'Arijit Singh'}
370,Bekhayali (Arijit Singh Version),Kabir Singh,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVmk9rg3k/size_m_1559542404.jpg,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVmk9rg3k/size_l_1559542404.jpg,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVmk9rg3k/size_xl_1559542404.jpg,https://gaana.com/song/bekhayali-arijit-singh-version,hi,"Jun 03, 2019",26998425,gaana,{'Arijit Singh'}
224,Ve Maahi,Kesari,https://a10.gaanacdn.com/gn_img/albums/01A3mrWNQX/1A3mJkGnWN/size_m_1552901436.jpg,https://a10.gaanacdn.com/gn_img/albums/01A3mrWNQX/1A3mJkGnWN/size_l_1552901436.jpg,https://a10.gaanacdn.com/gn_img/albums/01A3mrWNQX/1A3mJkGnWN/size_xl_1552901436.jpg,https://gaana.com/song/ve-maahi-3,hi,"Mar 18, 2019",25751482,gaana,"{'Arijit Singh', 'Asees Kaur'}"
223,Duniyaa,Luka Chuppi,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVvAmzgWk/size_m_1551078085.jpg,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVvAmzgWk/size_l_1551078085.jpg,https://a10.gaanacdn.com/gn_img/song/NOXWVgbkqL/XWVvAmzgWk/size_xl_1551078085.jpg,https://gaana.com/song/duniyaa,hi,"Feb 25, 2019",25569525,gaana,"{'Bhrigu Parashar', 'Akhil', 'Dhvani Bhanushali'}"
235,Kaise Hua,Kabir Singh,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa794R2WD/size_m_1560412400.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa794R2WD/size_l_1560412400.jpg,https://a10.gaanacdn.com/gn_img/song/lJvKa56KDV/vKa794R2WD/size_xl_1560412400.jpg,https://gaana.com/song/kaise-hua-1,hi,"Jun 13, 2019",27112488,gaana,{'Vishal Mishra'}
193,Mere Sohneya,Kabir Singh,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3Zmp6q0K5/size_m_1559793941.jpg,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3Zmp6q0K5/size_l_1559793941.jpg,https://a10.gaanacdn.com/gn_img/song/10q3ZR1352/q3Zmp6q0K5/size_xl_1559793941.jpg,https://gaana.com/song/mere-sohneya,hi,"Jun 06, 2019",27019948,gaana,"{'Sachet Tandon', 'Parampara Thakur'}"
