title,image_200,album,lyricist,hungama_id,provider,singers,shortUrl,keywords
Bekhayali,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5992117249.jpg,Kabir Singh,{'Irshad Kamil'},48273798,hungama,{'Sachet Tandon'},https://www.hungama.com/song/bekhayali/48273798/,"{'Bekhayali', 'Sachet Tandon', 'Irshad Kamil', 'Kabir Singh'}"
The Hook Up,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5971943278.jpg,Student Of The Year 2,{'Kumaar'},47813179,hungama,"{'Neha Kakkar', 'Shekhar Ravjiani', 'Vishal Shekhar'}",https://www.hungama.com/song/the-hook-up/47813179/,"{'Kumaar', 'Shekhar Ravjiani', 'Vishal Shekhar', 'The Hook Up', 'Student Of The Year 2', 'Neha Kakkar'}"
Slow Motion,https://content.hungama.com/audio%20track/display%20image/200x200%20jpeg/5971503656.jpg,Bharat,{'Irshad Kamil'},47797889,hungama,"{'Shreya Ghoshal', 'Nakash Aziz'}",https://www.hungama.com/song/slow-motion/47797889/,"{'Irshad Kamil', 'Nakash Aziz', 'Bharat', 'Slow Motion', 'Shreya Ghoshal'}"
Chale Aana,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5974451302.jpg,De De Pyaar De,{'Kunaal Vermaa'},47908714,hungama,"{'Armaan Malik', 'Amaal Mallik'}",https://www.hungama.com/song/chale-aana/47908714/,"{'Chale Aana (From ""De De Pyaar De"")', 'Kunaal Vermaa', 'Chale Aana', 'Armaan Malik', 'Amaal Mallik'}"
First Class,https://content.hungama.com/audio%20track/display%20image/200x200%20jpeg/5961344364.jpg,Kalank,{'Amitabh Bhattacharya'},47463795,hungama,"{'Neeti Mohan', 'Arijit Singh'}",https://www.hungama.com/song/first-class/47463795/,"{'Neeti Mohan', 'Kalank', 'Arijit Singh', 'Amitabh Bhattacharya', 'First Class'}"
Aila Re,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5995708800.jpg,Malaal,{'Prashant Ingole'},48140376,hungama,"{'Vishal Dadlani', 'Shreyas Puranik'}",https://www.hungama.com/song/aila-re/48140376/,"{'Vishal Dadlani', 'Prashant Ingole', 'Shreyas Puranik', 'Aila Re', 'Malaal'}"
Tujhe Kitna Chahne Lage,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5992117249.jpg,Kabir Singh,{'Mithoon'},48159593,hungama,"{'Mithoon', 'Arijit Singh'}",https://www.hungama.com/song/tujhe-kitna-chahne-lage/48159593/,"{'Mithoon', 'Tujhe Kitna Chahne Lage', 'Arijit Singh', 'Kabir Singh'}"
Duniyaa,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5953445742.jpg,Luka Chuppi,{'Kunaal Vermaa'},47309655,hungama,"{'Akhil', 'Dhvani Bhanushali'}",https://www.hungama.com/song/duniyaa/47309655/,"{'Dhvani Bhanushali', 'Duniyaa', 'Akhil', 'Luka Chuppi', 'Kunaal Vermaa'}"
The Jawaani Song,https://content.hungama.com/audio%20track/display%20image/200x200%20jpeg/5971964399.jpg,Student Of The Year 2,{'Anand Bakshi'},47755753,hungama,"{'Vishal Dadlani', 'Payal Dev', 'Vishal Shekhar', 'Kishore Kumar'}",https://www.hungama.com/song/the-jawaani-song/47755753/,"{'Vishal Dadlani', 'Vishal Shekhar', 'Kishore Kumar', 'The Jawaani Song', 'Payal Dev', 'Student Of The Year 2', 'Anand Bakshi'}"
Vaaste,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5966090326.jpg,Vaaste,{'Arafat Mehmood'},47629037,hungama,"{'Dhvani Bhanushali', ""Nikhil D'Souza""}",https://www.hungama.com/song/vaaste/47629037/,"{'Arafat Mehmood', 'Dhvani Bhanushali', ""Nikhil D'Souza"", 'Vaaste'}"
Ve Maahi,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5960817665.jpg,Kesari,{'Tanishk Bagchi'},47412887,hungama,"{'Asees Kaur', 'Arijit Singh'}",https://www.hungama.com/song/ve-maahi/47412887/,"{'Ve Maahi', 'Arijit Singh', 'Tanishk Bagchi', 'Kesari', 'Asees Kaur'}"
Jugraafiya,https://content.hungama.com/audio%20track/display%20image/200x200%20jpeg/5992256189.jpg,Super 30,{'Amitabh Bhattacharya'},48275458,hungama,"{'Shreya Ghoshal', 'Udit Narayan'}",https://www.hungama.com/song/jugraafiya/48275458/,"{'Amitabh Bhattacharya', 'Udit Narayan', 'Super 30', 'Jugraafiya', 'Shreya Ghoshal'}"
Chashni,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5973311049.jpg,Bharat,{'Irshad Kamil'},47893140,hungama,"{'Abhijeet Srivastava', 'Vishal Shekhar'}",https://www.hungama.com/song/chashni/47893140/,"{'Chashni', 'Irshad Kamil', 'Abhijeet Srivastava', 'Vishal Shekhar', 'Chashni (From ""Bharat"")'}"
Kalank Title Track,https://content.hungama.com/audio%20track/display%20image/200x200%20jpeg/5962956208.jpg,Kalank,{'Amitabh Bhattacharya'},47552475,hungama,{'Arijit Singh'},https://www.hungama.com/song/kalank-title-track/47552475/,"{'Kalank', 'Arijit Singh', 'Amitabh Bhattacharya', 'Kalank Title Track'}"
Hauli Hauli,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5971960522.jpg,De De Pyaar De,{'Tanishk Bagchi'},47814165,hungama,"{'Mellow D', 'Garry Sandhu', 'Tanishk Bagchi', 'Neha Kakkar'}",https://www.hungama.com/song/hauli-hauli/47814165/,"{'Mellow D', 'Garry Sandhu', 'Hauli Hauli (From ""De De Pyaar De"")', 'Tanishk Bagchi', 'Hauli Hauli', 'Neha Kakkar'}"
Coca Cola,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5953445742.jpg,Luka Chuppi,{'Tony Kakkar'},46822488,hungama,"{'Young Desi', 'Tony Kakkar', 'Neha Kakkar'}",https://www.hungama.com/song/coca-cola/46822488/,"{'Tony Kakkar', 'Coca Cola', 'Young Desi', 'Luka Chuppi', 'Neha Kakkar'}"
Fakira,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5971943278.jpg,Student Of The Year 2,{'Anvita Dutt'},47813147,hungama,"{'Sanam Puri', 'Neeti Mohan', 'Vishal Shekhar'}",https://www.hungama.com/song/fakira/47813147/,"{'Neeti Mohan', 'Fakira', 'Vishal Shekhar', 'Anvita Dutt', 'Sanam Puri', 'Student Of The Year 2'}"
Tu Mila To Haina,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5970549832.jpg,De De Pyaar De,{'Kunaal Vermaa'},47768862,hungama,"{'Arijit Singh', 'Amaal Mallik'}",https://www.hungama.com/song/tu-mila-to-haina/47768862/,"{'Tu Mila To Haina (From ""De De Pyaar De"")', 'Arijit Singh', 'Kunaal Vermaa', 'Tu Mila To Haina', 'Amaal Mallik'}"
Kaise Hua,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5992117249.jpg,Kabir Singh,{'Manoj Muntashir'},48264397,hungama,{'Vishal Mishra'},https://www.hungama.com/song/kaise-hua/48264397/,"{'Manoj Muntashir', 'Vishal Mishra', 'Kaise Hua', 'Kabir Singh'}"
Mumbai Dilli Di Kudiyaan,https://content.hungama.com/audio%20track/display%20image/200x200%20jpeg/5971964450.jpg,Student Of The Year 2,{'Vayu'},47783779,hungama,"{'Vishal Dadlani', 'Dev Negi', 'Payal Dev', 'Vishal Shekhar'}",https://www.hungama.com/song/mumbai-dilli-di-kudiyaan/47783779/,"{'Vishal Dadlani', 'Dev Negi', 'Vishal Shekhar', 'Mumbai Dilli Di Kudiyaan', 'Payal Dev', 'Student Of The Year 2', 'Vayu'}"
Chale Aana,https://content.hungama.com/audio%20album/display%20image/200x200%20jpeg/5979852422.jpg,De De Pyaar De,{'Kunaal Vermaa'},47911531,hungama,{'Armaan Malik'},https://www.hungama.com/song/chale-aana/47911531/,"{'Chale Aana', 'Armaan Malik', 'De De Pyaar De', 'Kunaal Vermaa'}"
