video,title,album,info,provider
https://www.youtube.com/watch?v=RqiQmj4hlzM,Bekhayali,Kabir Singh,"Presenting Bekhayali, In the voice of Arijit Singh. Lyrics by Irshad Kamil and Composed by Mithoon, Amaal Mallik, Vishal Mishra and Sachet-Parampara .The upcoming Bollywood movie Kabir Singh is starring Shahid Kapoor and Kiara Advani.",mirchi
https://www.youtube.com/watch?v=7TSsfosD0oI,Slow Motion,Bharat,"Presenting the song video of ""Slow Motion"" from the upcoming Bollywood movie ""Bharat"". The song is sung by Vishal & Shekhar Feat. Nakash A , Shreya G, lyrics by  Irshad Kamil.",mirchi
https://www.youtube.com/watch?v=zuaLWHiRXkg,Hook up song,Student of the year 2,"Presenting the song ""Hook up song"" from the upcoming Bollywood movie ""Student of the year 2"" . The song is sung byNeha Kakkar & Shekhar RavjianiMohan, lyrics by Kumaar and composed by Vishal and Shekhar",mirchi
https://www.youtube.com/watch?v=leyEatUq00E,Hauli Hauli,De De Pyaar De,"HAULI HAULI from De De Pyaar De starring Ajay Devgn, Tabu & Rakul Preet! Sung by Garry Sandhu & Neha Kakkar, recreated by Tanishk Bagchi, Music - Tanishk Bagchi Lyrics - Tanishk Bagchi, Garry Sandhu",mirchi
https://www.youtube.com/watch?v=3Dg006VuOMk,Tujhe Kitna Chahne Lage,Kabir Singh,"Presenting 'Tujhe Kitna Chahne Lage' from the upcoming Bollywood movie Kabir Singh, starring Shahid Kapoor and Kiara Advani. Directed by Sandeep Reddy Vanga. Sung by Arijit Singh and is composed by Mithon.",mirchi
https://www.youtube.com/watch?v=tTHNWT3dU-E,Chashni,Bharat,"Presenting the new romantic song âChashniâ, In the soulful voice of Abhijeet Srivastava, featuring Salman Khan and Katrina KaifArtist - Vishal & Shekhar feat. Abhijeet Srivastava Lyrics: Irshad Kamil composed by  Vishal & Shekhar",mirchi
https://www.youtube.com/watch?v=j6muwUGdvXw,Ve Maahi,Kesari,"Presenting the song ""Ve Maahi"" from the upcoming Bollywood movie ""Kesari. The song is sung by Arijit Singh & Asees Kaur, lyrics by Tanishk Bagchi composed by Tanishk Bagchi",mirchi
https://www.youtube.com/watch?v=mNxd1GEDYiQ,Chale Aana,De De Pyaar De,"Presenting Chale Aana from De De Pyaar De, a song that'll tug at your every heartstring, picturized on Ajay Devgn & Rakul Preet Singh. Enjoy the soulful voice of Armaan Malik in the melodious composition by Amaal Mallik and the heart touching lyrics by Kunaal Vermaa. Music Label: T-Series",mirchi
https://www.youtube.com/watch?v=osBCBg8WAsM,The Jawaani Song,Student of the Year 2,"Presenting the song video of ""The Jawani Song"" from the upcoming Bollywood movie ""Student of the Year 2"". Original Playback Singer is Kishore Kumar and Play Back Singer is Vishal Dadlani, Payal Dev. Original lyrics by Anand Bakshi and additional lyrics by Anvita Dutt. Original Music Composer by RD Burman and Music Recreated by Vishal & Shekhar.",mirchi
https://www.youtube.com/watch?v=9mWdw-09dso,Dheeme Dheeme,Tony Kakkar ft. Neha Sharma,Presenting Dheeme Dheeme featuring Tony Kakkar and Neha Sharma. Music composer and Lyrics by Tony Kakkar,mirchi
https://www.youtube.com/watch?v=wF_B_aagLfI,Teri Mitti,Kersari,"Presenting ""Teri Mitti"" song from the upcoming Bollywood movie ""Kesari"". This song is sung by B Praak, lyrics by Manoj Muntashir and composed by Arko.",mirchi
https://www.youtube.com/watch?v=hGsVLXnFgbA,SLOWLY SLOWLY,Guru Randhawa Ft. Pitbull,"Presenting the song ""SLOWLY SLOWLY"" The song is sung by Guru Randhawa ft. Pitbull, lyrics by Guru Randhawa, Pitbull and composed by Guru Randhawa",mirchi
https://www.youtube.com/watch?v=BBAyRBTfsOU,Vaaste,Dhvani Bhanushali,"Gulshan Kumar Presents latest Hindi Video Song of 2019 Bhushan Kumar's ""Vaaste"" In the voice of "" Dhvani Bhanushali & Nikhil DâSouza"", composed by ""Tanishk Bagchi "" and the lyrics by ""Arafat Mehmood"".",mirchi
https://www.youtube.com/watch?v=p3HR9QDMj18,First Class,Kalank,"Presenting the song video of ""First Class"" from the upcoming Bollywood movie ""Kalank. The song is sung by Arijit Singh & Neeti Mohan, lyrics by Amitabh Bhattacharya and composed by Pritam.",mirchi
https://www.youtube.com/watch?v=WWXm39leYew,Kaise Hua,Kabir Singh,"Presenting the  song ""Kaise Hua"" form the movie Kabir Singh, that portrays the phase of love and affection, a melody sung by Vishal Mishra and Lyrics by Manoj Muntashir.",mirchi
https://www.youtube.com/watch?v=_cPHiwPqbqo,Coca Cola,Luka Chuppi,"Presenting the video song ""Coca Cola"" from the upcoming bollywood movie Dinesh Vijan presents  ""Luka Chuppi"". This song is sung by Tony Kakkar and Neha Kakkar.",mirchi
https://www.youtube.com/watch?v=Fdk3brbEkPw,Ghar More Pardesiya,Kalank,"Love and grandeur come alive with Ghar More Pardesiya from the movie Kalank. This song is sung by Shreya Ghoshal with Vaishali Mhade, lyrics by Amitabh Bhattacharya and composed by Pritam.",mirchi
https://www.youtube.com/watch?v=hVCYwwFwGEE,Duniya,Luka Chuppi,"Presenting the song ""Duniya"" from the upcoming Bollywood movie ""Luka Chuppi. The song is sung by Akhil, lyrics by Kunaal Vermaa.",mirchi
https://www.youtube.com/watch?v=iD63CfkizWM,Mungda,Total Dhamaal,"Presenting the song video of Mungda - the absolutely sizzling dance number from Total Dhamaal, featuring Sonakshi Sinha and Ajay Devgn. The song is sung by Jyotica Tangri, Shaan, and Subhro Ganguly and is re-arranged by Gourov-Roshin with additional lyrics penned by Kunwar Juneja.",mirchi
https://www.youtube.com/watch?v=wKuP5Hz30ws,Kalank,Kalank,"Presenting ""Kalank"" song from the upcoming Bollywood movie ""Kalak"". This song is sung by Arijit Singh, lyrics by Amitabh Bhattacharya and composed by Pritam.",mirchi
