duration,title,keywords,image_320,image_120,album,shortUrl,singers,contentLang,wynk_id,label,provider
196,Vaaste,"{'Nikhil DSouza', 'Arafat Mehmood', 'Vaaste', 'Dhvani Bhanushali', 'Tanishk Bagchi'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1554509568/47629037.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1554509568/47629037.jpg,Vaaste,https://wynk.in/u/ftxp7sEWS,{'Dhvani Bhanushali'},hi,srch_hungama_47629037,tseries,wynk
371,Bekhayali,"{'Irshad Kamil', 'Kiara Advani', 'Sachet Tandon', 'SachetParampara', 'Shahid Kapoor', 'Bekhayali'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/update/1560508467/srch_hungama_48089326.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/update/1560508467/srch_hungama_48089326.jpg,Bekhayali,https://wynk.in/u/TrUMSEdsP,{'Sachet Tandon'},hi,srch_hungama_48089326,tseries,wynk
222,Duniyaa,"{'Bob', 'Pankaj Tripathi', 'Luka Chuppi', 'Duniyaa', 'Aparshakti Khurrana', 'Raja', 'Vishwanath Chatterjee', 'Akhil', 'Dhvani Bhanushali', 'Kriti Sanon', 'Abhijit Vaghani', 'Kartik Aaryan', 'Kunaal Vermaa'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1550814357/47309655.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1550814357/47309655.jpg,Luka Chuppi,https://wynk.in/u/K9n2BCjr7,{'Akhil'},hi,srch_hungama_47309655,tseries,wynk
284,Tujhe Kitna Chahne Lage,"{'Arijit Singh', 'Kiara Advani', 'Shahid Kapoor', 'Tujhe Kitna Chahne Lage', 'Mithoon'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1559291625/48159593.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1559291625/48159593.jpg,Tujhe Kitna Chahne Lage,https://wynk.in/u/xFWdNJfw7,{'Mithoon'},hi,srch_hungama_48159593,tseries,wynk
224,Ve Maahi,"{'Parineeti Chopra', 'Arijit Singh', 'Kesari', 'Akshay Kumar', 'Asees Kaur', 'Ve Maahi', 'Tanishk Bagchi'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1552900026/srch_zeemusic_INZ031405182.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1552900026/srch_zeemusic_INZ031405182.jpg,Kesari,https://wynk.in/u/B64HeJ2BE,{'Arijit Singh'},hi,srch_zeemusic_INZ031405182,zeemusic,wynk
247,Slow Motion,"{'Irshad Kamil', 'Bharat', 'VishalShekhar', 'Slow Motion', 'Tabu', 'SALMAN KHAN', 'NAKASH AZIZ', 'KATRINA KAIF', 'Shreya Ghoshal'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1556200536/47797889.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1556200536/47797889.jpg,Bharat,https://wynk.in/u/ilLfg8ud4,{'Shreya Ghoshal'},hi,srch_hungama_47797889,tseries,wynk
177,Photo,"{'Pankaj Tripathi', 'Luka Chuppi', 'Aparshakti Khurrana', 'Vishwanath Chatterjee', 'Photo', 'Karan Sehmbi', 'Nirmaan', 'Goldboy', 'Kriti Sanon', 'Tanishk Bagchi', 'Kartik Aaryan'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1549947173/47104984.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1549947173/47104984.jpg,Luka Chuppi,https://wynk.in/u/e7ZeWY2HE,{'Karan Sehmbi'},hi,srch_hungama_47104984,tseries,wynk
179,Coca Cola,"{'Young Desi', 'Pankaj Tripathi', 'Luka Chuppi', 'Aparshakti Khurrana', 'Vishwanath Chatterjee', 'Mellow D', 'Neha Kakkar', 'Coca Cola', 'Tony Kakkar', 'Kriti Sanon', 'Tanishk Bagchi', 'Kartik Aaryan'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1549266420/46822488.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1549266420/46822488.jpg,Luka Chuppi,https://wynk.in/u/Lq8Irf7Mi,{'Neha Kakkar'},hi,srch_hungama_46822488,tseries,wynk
184,Dilbar,"{'Manoj Bajpayee', 'Aisha Sharma', 'Dilbar', 'John Abraham', 'Neha Kakkar', 'Amruta Khanvilkar', 'Dhvani Bhanusali', 'Shabbir Ahmed', 'Satyameva Jayate', 'Tanishk Bagchi', 'Ikka'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1530691835/37260455.jpg,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/1530691835/37260455.jpg,Satyameva Jayate,https://wynk.in/u/rivwoIbSa,{'Dhvani Bhanusali'},hi,srch_hungama_37260455,tseries,wynk
209,Aankh Marey,"{'Kumar Sanu', 'Aankh Marey', 'Sara Ali Khan', 'Ashutosh Rana', 'Simmba', 'Neha Kakkar', 'Sonu Sood', 'Ranveer Singh', 'Shabbir Ahmed', 'Mika Singh', 'Tanishk Bagchi', 'Siddharth Jadhav', 'Viju Shah'}",http://img.wynk.in/unsafe/320x320/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/AANKH%20MAREY.JPG,http://img.wynk.in/unsafe/120x120/top/http://s3-ap-southeast-1.amazonaws.com/bsbcms/music/AANKH%20MAREY.JPG,Simmba,https://wynk.in/u/eypQhxX3x,{'Kumar Sanu'},hi,srch_hungama_43085459,tseries,wynk
